Common Hippo,Hippopotamus amphibius,40-50 yrs,Africa,"Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, DR Congo,",Decreasing,Vulnerable (VU)
Wolverine,Gulo gulo,5-17 yrs,"North America, Asia, Europe","Canada, China, Finland, Mongolia, Norway, Russia, Sweden, United States, Estonia",Decreasing,Least concern (LC)
Red Panda,Ailurus fulgens,8-14 yrs,Asia,"Bhutan, China,  India, Myanmar, Nepal",Decreasing,Endangered (EN)
Capybara,Hydrochoerus hydrochaeris,6-12 yrs,South America,"Argentina, Bolivia, Brazil, Colombia, Ecuador, Guyana, Paraguay, Peru, Uruguay, Venezuela",Stable,Least concern (LC)
Tasmanian Devil,Sarcophilus harrisii,5-8 yrs,Oceania,Australia,Decreasing,Endangered (EN)
American Bison,Bison bison,15-40 yrs,North America,"Canada, United States",Stable,Near Threatened (NT)
Bonobo,Pan paniscus,35-50 yrs,Africa,DR Congo,Decreasing,Endangered (EN)
Honey Badger,Mellivora capensis,7-26 yrs,"Africa, Asia","Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo,",Decreasing,Least concern (LC)
Red Fox,Vulpes vulpes,5-15 yrs,"Asia, Europe, Africa, North America, Oceania","Albania, Algeria, Andorra, Armenia, Austria, Azerbaijan, Bangladesh, Belgium, Bhutan, Bosnia and Herzegovina,",Stable,Least concern (LC)
Groundhog,Marmota monax,3-10 yrs,North America,"Canada, United States",Stable,Least concern (LC)
Snow Leopard,Uncia uncia,15-21 yrs,Asia,"Bhutan, China, India,  Kazakhstan, Kyrgyzstan, Mongolia, Nepal, Pakistan, Russia, Tajikistan,",Decreasing,Endangered (EN)
Raccoon Dog,Nyctereutes procyonoides,6-11 yrs,"Europe, Asia","China, Japan, South Korea, North Korea, Russia, Viet Nam",Stable,Least concern (LC)
American Black Bear,Ursus americanus,10-30 yrs,North America,"Canada, Mexico, United States",Increasing,Least concern (LC)
Meerkat,Suricata suricatta,5-15 yrs,Africa,"Angola, Botswana, Namibia, South Africa",Stable,Least concern (LC)
African Wild Dog,Lycaon pictus,10-11 yrs,Africa,"Angola, Benin, Botswana, Burkina Faso, Central African Republic, Chad, Ethiopia, Kenya, Malawi, Mozambique,",Decreasing,Endangered (EN)
Reindeer,Rangifer tarandus,15-20 yrs,"North America, Europe, Asia","Canada, Finland, Mongolia, Norway, Russia, United States",Decreasing,Vulnerable (VU)
Elk,Cervus canadensis,8-20 yrs,"Asia, North America, Europe","Bhutan, Canada, China, Kazakhstan, Kyrgyzstan, Mongolia, Russia, United States",Increasing,Least concern (LC)
Ocelot,Leopardus pardalis,7-20 yrs,"South America, North America","Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Guyana,",Decreasing,Least concern (LC)
Coypu,Myocastor coypus,6-10 yrs,"South America, Asia, North America, Europe","Argentina, Bolivia, Brazil, Chile, Paraguay, Uruguay",Decreasing,Least concern (LC)
Sugar Glider,Petaurus breviceps,4-14 yrs,"Oceania, Asia","Australia, Indonesia, Papua New Guinea",Stable,Least concern (LC)
Common Chimpanzee,Pan troglodytes,50-60 yrs,Africa,"Angola, Burundi, Cameroon, Central African Republic, Congo, DR Congo, Cote d'Ivoire, Equatorial Guinea, Gabon, Ghana,",Decreasing,Endangered (EN)
Serval,Leptailurus serval,,Africa,"Tunisia, South Africa, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad,",Stable,Least concern (LC)
Bush Rat,Rattus fuscipes,1-5 yrs,Oceania,Australia,Stable,Least concern (LC)
Okapi,Okapia johnstoni,20-33 yrs,Africa,DR Congo,Decreasing,Endangered (EN)
Humpback Whale,Megaptera novaeangliae,100 yrs,"Oceania, Africa, North America, South America, Asia, Europe, Antarctica","Angola, Antigua and Barbuda, Argentina, Australia, Bahamas, Bangladesh, Barbados, Benin, Brazil, Cameroon,",Increasing,Least concern (LC)
Arctic Fox,Vulpes lagopus,3-14 yrs,"North America, Europe, Asia","Canada, Finland, Iceland, Norway, Russia, Sweden, United States",Stable,Least concern (LC)
Fennec Fox,Vulpes zerda,10-12 yrs,Africa,"Algeria, Chad, Egypt, Libya, Mali, Mauritania,  Morocco, Niger, Sudan, Tunisia,",Stable,Least concern (LC)
Muskart,Ondatra zibethicus,3-10 yrs,"North America, Europe, South America, Asia","Canada, United States",Stable,Least concern (LC)
Ermine,Mustela erminea,1-12.5 yrs,"Asia, Europe, North America, Oceania","Albania, Andorra, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Canada,  China,",Stable,Least concern (LC)
Pronghorn,Antilocapra americana,10-12 yrs,North America,"Canada, Mexico, United States",Stable,Least concern (LC)
White-Tailed Deer,Odocoileus virginianus,6-20 yrs,"North America,  South America, Europe, Oceania","Belize, Brazil, Canada, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Guyana, Honduras,",Stable,Least concern (LC)
Sea Otter,Enhydra lutris,19-23 yrs,"North America, Asia","Canada, Japan, Mexico,  Russia, United States",Decreasing,Endangered (EN)
Water Buffalo,Bubalus bubalis,25-29 yrs,Asia,"India, China",Decreasing,Not evaluated (NE)
Sable,Martes zibellina,8-18 yrs,"Europe, Asia","China, Japan, Kazakhstan, North Korea, Mongolia, Russia",Increasing,Least concern (LC)
Mandrill,Mandrillus sphinx,25-40 yrs,Africa,"Cameroon, Congo,  Equatorial Guinea, Gabon",Decreasing,Vulnerable (VU)
Spotted Hyena,Crocuta crocuta,20-40 yrs,Africa,"Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, DR Congo,",Decreasing,Least concern (LC)
Fossa,Cryptoprocta ferox,15-20 yrs,Africa,Madagascar,Decreasing,Vulnerable (VU)
White Rhinoceros,Ceratotherium simum,45-50 yrs,Africa,"South Africa, DR Congo, South Sudan, Sudan, Botswana, Kenya, Mozambique, Namibia, Swaziland, Uganda,",Decreasing,Near Threatened (NT)
Vaquita,Phocoena sinus,20 yrs,North America,Mexico,Decreasing,Critically endangered (CR)
Binturong,Arctictis binturong,18-25 yrs,Asia,"Bangladesh, Bhutan, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal,",Decreasing,Vulnerable (VU)
Gaur,Bos gaurus,26 yrs,Asia,"Bhutan, Cambodia, China, India, Laos, Malaysia, Myanmar, Nepal, Thailand, Viet Nam,",Decreasing,Vulnerable (VU)
Asian Elephant,Elephas maximus,70 yrs,Asia,"Bangladesh, Bhutan, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal,",Decreasing,Endangered (EN)
Dugong,Dugong dugon,70 yrs,"Oceania, Asia, Africa","Australia, Bahrain, Brunei, Cambodia, China, Comoros, Djibouti, Egypt, Eritrea, India,",Decreasing,Vulnerable (VU)
Asian Palm Civet,Paradoxurus hermaphroditus,15-24 yrs,Asia,"Bangladesh, Bhutan, Brunei, Cambodia, China, India, Indonesia,  Laos, Malaysia, Myanmar,",Decreasing,Least concern (LC)
Naked Mole-Rat,Heterocephalus glaber,32 yrs,Africa,"Djibouti, Ethiopia, Kenya, Somalia",Stable,Least concern (LC)
Red Deer,Cervus elaphus,20 yrs,"Africa, Asia, Europe, North America","Algeria, Armenia, Austria,  Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark,",Increasing,Least concern (LC)
Sloth Bear,Melursus ursinus,40 yrs,Asia,Indomalayan,Decreasing,Vulnerable (VU)
House Mouse,Mus musculus,12 mos-6 yrs,"Asia, Europe, Africa, South America, Oceania, North America","Albania, Algeria, Andorra, Armenia, Austria, Azerbaijan, Bahrain, Belarus, Belgium, Bosnia and Herzegovina,",Stable,Least concern (LC)
Giant Golden-Crowned Flying Fox,Acerodon jubatus,12-23 yrs,Asia,Philippines,Decreasing,Endangered (EN)
Muskox,Ovibos moschatus,12-20 yrs,"North America, Europe",Canada,Stable,Least concern (LC)
Brown Rat,Rattus norvegicus,2-4 yrs,"Asia, Europe, Africa, Oceania, North America","China, Japan, Russia",Stable,Least concern (LC)
African Buffalo,Syncerus caffer,11-29 yrs,Africa,"Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Central African Republic, Chad, Congo, DR Congo,",Decreasing,Near Threatened (NT)
Rusty-Spotted Cat,Prionailurus rubiginosus,18 yrs,Asia,"India, Nepal, Sri Lanka",Decreasing,Near Threatened (NT)
Dhole,Cuon alpinus,16 yrs,Asia,"Bangladesh, Bhutan, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal,",Decreasing,Endangered (EN)
Clouded Leopard,Neofelis nebulosa,11-17 yrs,Asia,"Bangladesh, Bhutan, Cambodia, China, India, Laos, Malaysia, Myanmar, Nepal, Thailand,",Decreasing,Vulnerable (VU)
Sun Bear,Helarctos malayanus,30 yrs,Asia,"Bangladesh, Brunei, Cambodia, India, Indonesia, Laos, Malaysia, Myanmar, Thailand, Viet Nam,",Decreasing,Vulnerable (VU)
Pallas's Cat,Otocolobus manul,8-11.5 yrs,Asia,"Azerbaijan, Bhutan, China,  Iran, Kazakhstan, Kyrgyzstan, Mongolia, Nepal, Pakistan, Armenia,",Decreasing,Least concern (LC)
African Bush Elephant,Loxodonta africana,60-75 yrs,Africa,"Angola, Benin, Botswana, Burkina Faso, Cameroon, Central African Republic, Chad, Congo, DR Congo, Cote d'Ivoire,",Increasing,Vulnerable (VU)
Eastern Gray Squirrel,Sciurus carolinensis,12.5-20 yrs,"North America, Europe, Africa","Canada, United States",Increasing,Least concern (LC)
Indian Rhinoceros,Rhinoceros unicornis,40-50 yrs,Asia,"India, Nepal",Increasing,Vulnerable (VU)
Black Rhinoceros,Diceros bicornis,30-49 yrs,Africa,"Angola, Kenya, Mozambique, Namibia, South Africa, Tanzania, Zimbabwe, Ethiopia, Botswana, Malawi,",Increasing,Critically endangered (CR)
Markhor,Capra falconeri,10-13 yrs,Asia,"Afghanistan, India, Pakistan, Tajikistan, Turkmenistan, Uzbekistan",Increasing,Near Threatened (NT)
Eurasian Lynx,Lynx lynx,13-25 yrs,"Asia, Europe","Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, China, Croatia, Czech Republic,",Stable,Least concern (LC)
Common Warthog,Phacochoerus africanus,12-18 yrs,Africa,"Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon,  Central African Republic, Chad, DR Congo, Cote d'Ivoire,",Decreasing,Least concern (LC)
Canadian Lynx,Lynx canadensis,15 yrs,North America,"Canada, United States",Stable,Least concern (LC)
Aye-Aye,Daubentonia madagascariensis,23 yrs,Africa,Madagascar,Decreasing,Endangered (EN)
Impala,Aepyceros melampus,15 yrs,Africa,"Angola, Botswana, Kenya,  Malawi, Mozambique, Namibia, Rwanda, South Africa, Swaziland, Tanzania,",Stable,Least concern (LC)
Pine Marten,Martes martes,10-17 yrs,"Europe, Asia","Albania, Armenia, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark,",Stable,Least concern (LC)
American Badger,Taxidea taxus,9-15 yrs,North America,"Canada, Mexico, United States",Decreasing,Least concern (LC)
Nilgai,Boselaphus tragocamelus,10-21 yrs,Asia,"India, Nepal, Pakistan",Stable,Least concern (LC)
Vicuna,Vicugna vicugna,20-25 yrs,South America,"Argentina, Bolivia,  Chile, Peru",Increasing,Least concern (LC)
Blackbuck,Antilope cervicapra,10-15 yrs,"Asia, South America, North America",India,Stable,Near Threatened (NT)
Wisent,Bison bonasus,14-28 yrs,"Europe, Asia","Belarus, Lithuania, Poland, Romania, Russia, Slovakia, Ukraine, Kyrgyzstan",Increasing,Vulnerable (VU)
Kinkajou,Potos flavus,20-40 yrs,"North America, South America","Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Guyana, Honduras,",Decreasing,Least concern (LC)
Amazon River Dolphin,Inia geoffrensis,30 yrs,South America,"Bolivia, Brazil, Colombia,  Ecuador, Peru, Venezuela",Decreasing,Data deficient (DD)
Red Squirrel,Sciurus vulgaris,5-10 yrs,"Europe, Asia","Albania, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, China,  Croatia, Czech Republic, Denmark,",Decreasing,Least concern (LC)
North American River Otter,Lontra canadensis,14-25 yrs,North America,"Canada, United States",Stable,Least concern (LC)
Bowhead Whale,Balaena mysticetus,100-200 yrs,"North America, Europe, Asia","Canada, United States",Increasing,Least concern (LC)
Virginia Opossum,Didelphis virginiana,2-4 yrs,North America,"Belize, Canada, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United States",Increasing,Least concern (LC)
Black-Footed Cat,Felis nigripes,10-12 yrs,Africa,"Botswana, Namibia, South Africa",Decreasing,Vulnerable (VU)
